com,quest,answer,length,result,date
삼성카드,삼성카드를 지원한 이유와 입사 후 회사에서 이루고 싶은 꿈을 기술하시오,"삼성카드는 카드사 중에서 유일한 상장사라는 점과 ‘미래에 카드는 쓰지 않을 것이다’라는 의견에도 불구하고 카드가 아닌 신용이라는 본질적인 가치에 맞추어 선도적으로 종합합금융플랫폼으로 나아가고 있다는 점이 흥미롭게 보였습니다. 

 00산학협력원에서 산학프로젝트를 진행하면서 계속해서 중요하게 생각했던 것은 우리가 만드는 플랫폼을 철저하게 고객입장에서 만들어야 한다는 것이었습니다. 프로젝트 진행도 애자일 방식으로 사용자의 요구사항에 입각해서 진행했는데 확실히 개발자 입장에서 접근할때와 사용자 입장에서 접근하는 방식의 차이는 정말 크다는 것을 깨달았습니다. 

 현재 삼성카드에서 진행중인 빅데이터 사업으로 사용자들의 데이터를 실시간으로 분석해서 개인별 니즈와 상황에 적합한 서비스를 추천해주는 ‘링크 파트너’라는 서비스를 제공하고 있는데 서비스가 14년도부터 시작되었다는 점이 새삼 놀라웠습니다. 저는 이 사업에 더불어 시대적 흐름에 맞게 고객이 어떤 것을 원하는지 지금까지 쌓인 데이터를 기반으로 분석하여 활용해보고 싶습니다.

또한, 삼성카드가 가진 교육제도를 보면 지금 지원하는 데이터 분석 분야 뿐만아니라 다른 분서들도 데이터분석에 대한 기본을 갖출 수 있도록 프로그램을 구성한 부분이 데이터 리터러시와 관련된 트렌드를 잘 따라가는 모습도 매력적으로 느꼈습니다. ",700,x,09월 13일
삼성카드,"본인의 성장과정을 간략히 기술하되 현재의 자신에게 가장 큰 영향을 끼친 사건, 인물 등을 포함하여 기술하시기 바랍니다. (※작품속 가상인물도 가능) ","지금까지의 김명환을 설명하자면 ‘책임’, ‘사람’ 두 단어를 빼놓을 수 없습니다. 어릴 적부터 반장과 회장 역할을 맡아서 해왔으며, 대학을 다닐 때도 학생회와 동아리에서 회장 및 국장 등의 자리를 역임했고, 군 생활도 ROTC를 통해 장교로 복무하였습니다. 항상 주도적으로 이끌어가는 위치에 있었지만, 남들을 이끌어간다는 것은 사실 ‘권한’처럼 달콤해 보이는 단어보다는 ‘책임’의 무게가 훨씬 큰 상황들의 연속이었습니다. 

[빈틈없는 최전방 통신망]
 서해최북단을 지키는 해병대 6여단 소속으로 군복무를 하던 시절에 대대의 정보통신을 총 책임지는 역할을 맡고 있었습니다. 해안가 주변에 주요 통신망이 위치하다 보니 습한 공기의 영향으로 통신 단자나 통신 선로들이 빠르게 부식된다는 약점이 있었습니다. 이는 곧 소대원들의 업무 부담으로 이어졌는데 10명 남짓한 소대원들이 본부 건물을 포함해 6개의 소초와 해안가를 따라서 배치된 세부 통신망들을 모두 관리하다 보니, 하루에 접수되는 신고건수만 5건이 넘었고 결국 제때 밥을 못먹게 된다거나 과업이 늦게 끝나는 경우가 많았습니다. 
  여느 때처럼 사무실에 고장이 난 통신장비를 보다가 문득 '대체 어디 부대가 제일 고장을 많이 내는 거지?' 하는 생각이 들었고 곧바로 엑셀 파일을 실행시켜서 부대별로 통신장비 현황을 정리하기 시작했습니다. 지금까지의 기록들을 확인하며 좀 더 세부적으로 월별, 주별로 나눠서 데이터를 정리하여 통계를 내보니 특정한 통신망 구간의 신고율이 높은 것과 부대별 빈도의 차이가 확연히 나타나는 것을 확인할 수 있었습니다. 
  이를 토대로 현황에 대한 자료를 엑셀 차트로 시각화하여 부대회의에서 통신망 관리방안을 보고했고, 부대 중점사항으로 채택되어 운영했습니다. 고장이 잦은 곳은 선로를 재구성하거나 장비를 교체해주고, 중요도에 따라 우선순위를 매겨 효율적으로 운영하였습니다. 결과적으로 통신망 고장 신고 건수가 최대 하루 2건 정도로 많이 감소한 효과가 있었습니다. 
 시기상 군관련 안보문제가 쟁점이 되었을 때 불시로 수차례 합동참모본부 등 상급부대에서 점검을 나왔는데, 단 한 건의 지적이 발생하지 않도록 유지관리 했습니다. 덕분에 부대원들도 불필요하게 시간과 노력을 투자하지 않게 하여, 작전수행간에 소통이 원활하도록 이바지할 수 있었습니다.",1500,x,09월 13일
삼성카드,최근 사회이슈 중 중요하다고 생각되는 한가지를 선택하고 이에 관한 자신의 견해를 기술해 주시기 바랍니다,"공공데이터 인턴을 수행할 때 처음으로 접하게된 ‘마이데이터’라는 개념은 어느새 법으로도 검토가 될 만큼 코앞까지 다가온 것을 느낍니다. 개인의 데이터를 사고 판다는 관점에서 분석에 필요한 데이터를 제공 받을 수 있다는 것은 서비스 제공차원에서는 엄청나게 큰 기회일 것입니다. 물론, 아직 삼성카드가 마이데이터 사업 진출에 대기중인 상황이지만 기존에 삼성카드가 보유하고 있는 데이터들을 가지고 준비를 한다면 충분히 우위를 가져올 수 있다고 생각합니다. 프로젝트를 통해 빅데이터를 다뤄보면서 확실히 양의 중요성도 느꼈지만, 더 중요한 것은 어떻게 데이터에서 인사이트를 도출해낼 수 있는가 였습니다. 지금도 세상에 좋은 분석기술과 기법은 넘쳐나는데 그렇다고 모두가 그런 툴을 활용해서 어떤 좋은 결과물로 만들어낼 수 있는 것은 아니듯이 고객이 무엇을 원하는지를 최우선으로 하여 고민해 보는 것이 오히려 목적지 더 빠르게 도달하는 방법이라고 생각합니다. 
삼성은 그룹이라는 메리트가 있기 때문에 금융계열사인 삼성생명, 삼성화재, 삼성카드, 삼성증권 등의 회사에서 나오는 데이터들을 활용한 통합 플랫폼이 나온다면 그 영향력은 감히 상상하지 못할 정도일 것입니다. 사람들은 서비스가 먼저 나왔다고 쓰기보다는 제대로된 서비스가 나와야 사용하는 것이 대부분입니다. 한 예로 저희 아파트 관리비를 결제 하는데 있어서 갑자기 삼성카드가 유명해졌는데 이유는 결제한 관리비 세부내역이 삼성카드만 제공해준다는 것이었습니다. 별것 아닌 것 같지만 주민들은 최종적인 결제 금액에 대한 세부내용을 알고 싶다는 어떻게 보면 단순하고 당연한 니즈인데 다른 카드사들은 제공하지 않았던 것에 대해서 새삼 놀랐던 기억이 있습니다. 이처럼 마이데이터를 추진하기에 앞서 축적된 데이터를 통해서 고객이 원하는 플랫폼이 무엇일지 고민하는 시간을 가질 수 있는 기회로 활용한다면 오히려 긍정적인 기회가 될 것이라 생각합니다. ",1000,x,09월 13일
삼성카드,지원 직군과 관련한 성공경험 또는 입사 후 직무 관련 성과창출을 위해 본인이 지금까지 개발한 역량 및 노력에 대해 기술해 주시기 바랍니다,"[밤낮으로 노력하여 우수상을 수상]
  데이터공부를 위해 통계와 데이터 분석 관련 자격증 2개를 취득하였고, 2개를 더 취득 준비중이며, 데이터 인턴도 수행하였으나 전문적인 스킬이 부족하다고 많이 느꼈습니다. 특히, 국립축산과학원에서 근무할 때 소센서에 나오는 데이터를 SQL로 처리를 했는데 데이터 양이 많아지니 로딩이 굉장히 늦어지는 것을 보고 진짜 빅데이터는 사용하는 툴도 달라야한다는 것을 느꼈습니다. 데이터를 전문적으로 다루는 능력을 기르고자 00산학협력원에서 진행하는 ‘PBL 머신러닝 기반 빅데이터 분석가 양성과정’ 참여하였습니다. 6개월이라는 기간이 길어보이지만 사실 그 기간안에 프로그래밍 언어를 배우고, 빅데이터를 다루는 전반적인 개념과 머신러닝까지 이해한다는 것은 정말 어렵고 빡빡한 일정이었습니다. 매일매일 새롭게 배우는 생소한 개념들을 이해하기 위해서 평균 밤 9시까지 남아서 수업에 대한 복습 및 스터디를 꾸려서 서로 이해한 내용을 공유했습니다. 

교육과정 마지막에는 산학프로젝트를 진행했는데 저희 팀은 ‘뉴스빅데이터 분석을 통한 주가변동성 예측’이라는 주제였습니다. 우선 부족한 도메인 지식을 채우고자 도움이 될만한 관련 도서를 추려서 도서관에서 대출하여 팀원들과 스터디를 진행했습니다. 팀장이었던 저는 모호했던 프로젝트의 방향성을 명확히 하는 것이 향후 진행에도 좋다고 생각하여 팀원들과 회의를 통하여 프로젝트의 목적과 목표를 구체적으로 설정하였습니다. 
  하지만 문제는 그것뿐만이 아니었습니다. 저희가 교육과정에 배우지 않았던 자연어처리에 대한 내용이 프로젝트의 절반이상을 차지 했으며, 분석에 필요한 기법들도 사실상 배우지 않았던 부분들이 많았습니다. 그럼에도 쉽게 포기하지 않고 팀원들과 지속적인 회의를 통하여 아이디어를 도출해냈고, 부족한 부분들은 열심히 검색을 통해서 찾아갔습니다. 
 많은 어려움이 있었지만 결론적으로 저희팀은 중간발표 1등 그리고 좋은 결과로 마무리할 수 있었습니다. ",1000,x,09월 13일
현대해상,"본인의 강점, 가치관 등을 Keyword 형태로 자유롭게 기술하여 주시기 바랍니다.","▶ 감성사전을 통한 감성분류 정확도 94%달성

ㅇ에서 뉴스 빅데이터 분석을 통한 주가변동성 예측 프로젝트를 했던 경험이 있습니다. 신규투자자들의 투자의사결정을 지원해주는 뉴스데이터 분석 모델과 주가변동성 예측 모델을 만드는 것이 목표였습니다. 하지만 문제는 교육과정에 자연어처리에 관한 내용이 전혀 없었다는 것이었습니다. 0부터 시작하는 상황이었지만 팀장으로서 프로젝트를 포기할 수는 없기에 책과 인터넷을 찾아보며 진행하기로 하였습니다. 먼저, 주가 분석과 관련한 선행 연구 사례들 33개의 논문을 확인하였습니다. 그중에서도 참고할만한 논문 7개를 추려 기존 문제점들을 개선해나가는 식으로 방향을 잡았습니다. 

제가 맡은 업무는 뉴스 데이터 분석으로 개선점을 크게 3가지로 잡았습니다. 
첫째, 데이터 양의 증가
논문들의 한계의 공통점에는 활용한 데이터의 길이와 크기에 제한을 받았다는 것이었습니다. 따라서, 저희는 총 2010년 1월부터 2021년 6월까지 약 11년치의 네이버 경제뉴스에 있는 모든 언론사의 기사 데이터를 크롤링을 통해 수집하여 충분한 데이터를 확보하였습니다.
둘째, 언어적 특성 고려
BERT는 문장을 앞뒤로 해석하여 문맥을 이해할 수 있으므로 상황에 따라 달리 해석되는 다의어도 파악할 수 있는 특징이 있습니다. 이를 활용하여 문맥적 의미변이 및 동음이의어 구분의 문제를 해결하였습니다.
셋째, 전문화된 감성사전
기존 감성사전은 영화의 댓글의 감성을 파악하거나 트위터 글에서 감성을 파악하는 등 단순한 감정을 읽는 것이었다면 저희가 만든 감성사전은 주식 도메인에 특화된 감성사전입니다. 증권사 리서치 자료를 포함하여 전문적인 용어를 추가, 단어 임베딩을 통해 단어 유사도 검증을 거쳐 감성 수치를 구체화하였습니다.

위와 같은 과정을 거쳐 최종적으로 정확도 94%에 달하는 감성분류모델을 만들었습니다.

위의 사례처럼 저는 새로운 도전을 두려워 하지 않고 결국 해내는 습관과 배움을 즐기는 자세를 가지고 있습니다. ",1000,x,09월 27일
현대해상,관심직무에 지원하게 된 동기 및 준비과정을 구체적으로 기술하여 주시기 바랍니다. ,"데이터를 공부하고 싶었던 저는 수업을 따라가기도 벅찼지만, 소학회를 만들어 대학에서 빅데이터 소학회를 창설하여 R과 Python 스터디를 주도하였고, 꾸역꾸역 따라가서 끝내 졸업할 수 있었습니다. 대학 졸업 후에 장교로 임관하여 정보통신학교에서 데이터가 흘러가는 시스템에 대한 이해를 높이며 데이터에 대한 감을 잃지 않으려 노력했습니다. 전역 후에 남들보다 낮은 학점으로 졸업한 터라 데이터 분야로 갈 자신이 없었습니다. 하지만, 이대로 포기할 수는 없어 전역 후에 인턴에 도전하였고, 낮에는 인턴 근무를 하고 밤에는 자격증 공부를 병행해가며 열심히 수행했습니다. ㅇ에서 인턴으로 근무하며 센서데이터를 전처리하는 업무를 맡아서 SQL을 활용하는 스킬을 키웠습니다.

인턴이 끝나고 ‘PBL 머신러닝 기반 빅데이터 분석가 과정’에 참여하였습니다. 아침 9시부터 6시까지 강의를 듣고 남아서 밤 9시까지 반드시 내 것으로 만들겠다는 일념으로 하루 12시간씩 투자해가며 공부했습니다. 하루 2시간씩 걸리는 통학은 제게 걸림돌이 아니었습니다. 아침에는 관련 뉴스를 보면서, 돌아갈 때는 배운 수업내용 관련 동영상을 찾아보면서 지냈습니다. 처음에는 동기들에게 물어보기 바빴지만 프로젝트를 수행할때는 나름 남들을 알려줄 수준이 되어 프로젝트 팀장으로 팀원들을 이끌었습니다.

결국 수료식날 1등으로 수료하여 우수상을 받은 기억은 앞으로 나아가고자 하는 길에 큰 용기가 되었습니다. 이처럼 하고자 하는 것이 있으면 포기하지 않고 끝까지 해본다면 언젠가는 결실을 볼 수 있다는 사실을 절실히 깨달았습니다. 

또한, 인턴과 산학프로젝트를 통해 데이터를 활용하는 능력도 길렀습니다. 인턴을 하면서 공공데이터를 활용하는 아이디어 경진대회에 참가하여 현재 사회가 필요로 하는 것이 무엇인지 중점적으로 고민하면서 결과물을 기획하여 수상하였습니다. ㅇ에서 진행한 프로젝트에서 뉴스 빅데이터 분석을 통해 주가변동성 예측 모델을 만들었고, 빅데이터 플랫폼화 해보는 경험을 했습니다. 이런 경험들을 토대로 고객들이 진정으로 필요로 하는 바를 도출하고, 고객 데이터를 분석하는데 기여할 것입니다.",1200,x,09월 27일
현대해상,당면한 문제나 어려움을 극복하기 위해 노력했던 경험과 그것을 통해 얻은 교훈을 기술하여 주시기 바랍니다.,"대학 졸업후에 해병대 장교로 임관하여 서해최북단 백령도에서 근무했습니다. 하계 IBS훈련을 받을 때 병과 간부가 함께 훈련생으로 지냈는데 훈련을 받으며 팀원 중 훈련에 대충 임하는 인원이 있어서 갈등이 발생했습니다. 보트를 머리에 얹고 갈 때 살짝 머리를 뺀다든지, 패들링을 할 때 혼자만 대충 젓는 식으로 행동한 것이 문제였습니다. 알고보니 전역이 얼마남지 않은 상황이라 굳이 열심히 할 이유가 없다는 것이었습니다.

팀장을 맡은 저는 지금까지 쌓인 인간관계 노하우를 바탕으로 팀원들에게 적절한 역할 분배를 하였고, 훈련간에 많이 지치더라도 목소리를 제일 크게 내거나 유난히 힘들어하는 인원을 교대하여 밸런스를 유지하는 등 솔선수범하는 모습으로 팀원들의 신뢰를 얻었습니다. 특히, 문제가 되었던 인원과는 꾸준히 대화하면서 동기부여가 될 수 있도록 노력했습니다. 

해당 인원은 하루하루 점차 팀에 녹아들었고, 훈련 막바지에 주어진 임무를 가장 빨리 수행하는 팀을 뽑는 최종미션에서 압도적으로 1등을 차지하여 훈련유공을 받은 경험이 있습니다.

사실 사람들은 각자 처한 상황에 따라 합리적으로 판단하는 특징을 가지고 있습니다. 어떤 사람이 이해가 되지 않는 행동을 한다고 해서 그 사람을 이상한 사람이라고 판단해버리기보다는 직접 그 사람과 대화를 시도하고 상대방의 입장과 처지를 이해하는 것이 먼저가 되어야 한다는 것을 깨달았습니다. ",800,x,09월 27일
효성인포메이션시스템,지원 직무 관련 자신이 갖춘 역량에 대하여 구체적으로 기술하여 주십시오.,"효성을 대표하는 “빅데이터 분석전문가”가 위해서는 크게 두 가지 역량이 중요하다고 생각합니다.

▶ 첫째, 데이터 리터러시
대학에서 빅데이터 소학회를 창설하여 R과 Python 스터디를 주도하였고, 대학 졸업 후에 장교로 임관하여 정보통신학교에서 데이터가 흘러가는 시스템에 대한 이해를 높였으며, 전역 후 ㅇ에서 인턴으로 근무하며 센서데이터를 전처리하는 업무를 맡아서 SQL을 활용하는 스킬을 키웠습니다. 최근에는 PBL 머신러닝 기반 빅데이터 분석가 과정에 참여하여 빅데이터의 수집부터 머신러닝 기반 활용 및 시각화까지의 과정을 공부하였고 우수한 성적으로 수료하였습니다.

또한, 인턴과 산학프로젝트를 통해 데이터를 활용하는 능력도 길렀습니다. 인턴을 하면서 공공데이터를 활용하는 아이디어 경진대회에 참가하여 현재 사회가 필요로 하는 것이 무엇인지 중점적으로 고민하면서 결과물을 기획하여 수상하였습니다. ㅇ에서 진행한 프로젝트에서 뉴스 빅데이터 분석을 통해 주가변동성 예측 모델을 만들었고, 효성의 pentaho와 비슷하게 빅데이터 플랫폼화 해보는 경험을 했습니다. 이를 통해 공공, 마케팅, 금융 분야 고객들을 이해하고 데이터를 분석하는데 기여할 것입니다.

▶ 둘째, 의사소통능력

‘조직’이라는 단어는 제 삶을 대표하는 키워드입니다. 학창시절부터 성인이 된 이후까지 학생회와 동아리에서 회장 및 국장을, 그리고 ROTC를 하며 자치근무자를 거쳐 해병대 장교로 임관하였습니다. 서해최북단 백령도에서 IBS훈련을 받을때 솔선수범하는 모습으로 팀원들의 신뢰를 얻었고, 미션을 가장 빨리 수행하는 팀을 뽑는 최종미션에서 1등을 차지하여 훈련유공을 받은 경험이 있습니다.

IT프로젝트는 많은 전문 인력이 투입되고 수많은 오픈소스와 솔루션의 조합, 그리고 최적화가 빈번하므로 협업능력이 필수입니다. 위와 같은 역량을 바탕으로 현재 효성에서 운영하는 빅데이터 솔루션에 대해 이해하고 발전시켜 고객들을 확실하게 만족시키는 효성 최고의 빅데이터 분석전문가가 되겠습니다.",1000,x,09월 27일
CJ올리브네트웍스,"회사와 직무를 선택한 이유는 무엇이며, 만약 입사하게된다면 어떻게 회사 발전에 기여할 수 있을지 기술해주시기 바랍니다. ","[나만의 맞춤 챗봇 서비스 개발]
CJ올리브네트웍스 고객들을 위한 맞춤형 대화 AI솔루션을 개발하고 싶습니다. ㅇ에서 뉴스 빅데이터 분석 프로젝트를 진행하며 자연어처리에 대한 매력을 많이 느꼈는데 그 이후로 자연어처리에 대해 공부를 꾸준히 해오고 있습니다. 현재는 자연어처리를 통해 고객센터의 기능을 돕는 수준으로 챗봇서비스로 제공하는 수준이라면 이후에는 CJ 고객들의 빅데이터를 분석하여 고객 맞춤형 챗봇서비스를 개발해보고 싶습니다. 고객 데이터 분석을 통해 적절한 시기에 챗봇이 대화를 시도한다면 도움이 될 것입니다. 예를 들어, 영화를 자주 보는 고객이라면 새로운 영화 개봉에 맞춰 알림을 주고 영화와 관련된 상품도 확인해보겠냐는 추천 서비스를 제공해주면 좋을 것입니다.

또한, 고객의 감성을 체크 할 수 있는 알고리즘을 만들고 싶습니다. 프로젝트에서 감성분류를 하면서 사람의 감정은 어떻게 구분할 수 있을까 하는 궁금증이 생겼습니다. 고객들의 데이터에서 기분이 좋을 때와 기분이 안 좋을때의 구매 패턴이나 기타 앱 이용패턴을 구분해 낸다면 구현하고자 하는 챗봇이 더욱 센스있게 고객에게 답변할 수 있을 것입니다.

AI 엔지니어가 되어 위와 같이 센스 있는 맞춤형 챗봇 서비스를 개발해보고 싶습니다.",700,x,09월 27일
CJ올리브네트웍스,"지원하신 직무와 관련된 역량을 키우기 위해 노력한 경험 및 결과에 대해 작성해주시기 바랍니다. (700자, 최대 3개까지 작성 가능) (예시) [관련 경험 제목] 작성 후 ①역량을 키우기 위한 노력한 경험에 대한 내용과 기간을 작성 ②교내활동(강의/교내 프로젝트/논문/스터디/동아리/학회 등)과 교외활동(공모전/개인학습/프로젝트 등) 등으로 나누어 자유롭게 선택 가능","[뉴스 빅데이터 분석을 통한 주가 변동성 예측]

ㅇ에서 뉴스 빅데이터 분석을 통한 주가변동성 예측 프로젝트를 했던 경험이 있습니다. 신규투자자들의 투자의사결정을 지원해주는 뉴스데이터 분석 모델과 주가변동성 예측 모델을 만드는 것이 목표였습니다. 먼저, 주가 분석과 관련한 선행 연구 사례들 33개의 논문을 확인하였습니다. 그중에서도 참고할만한 논문 7개를 추려 기존 문제점들을 개선해나가는 식으로 방향을 잡았습니다. 

제가 맡은 업무는 뉴스 데이터 분석으로 개선점을 크게 3가지로 잡았습니다. 
첫째, 데이터 양의 증가
논문들의 한계의 공통점에는 활용한 데이터의 길이와 크기에 제한을 받았다는 것이었습니다. 따라서, 저희는 총 2010년 1월부터 2021년 6월까지 약 11년치의 네이버 경제뉴스에 있는 모든 언론사의 기사 데이터를 크롤링을 통해 수집하여 충분한 데이터를 확보하였습니다.
둘째, 언어적 특성 고려
BERT는 문장을 앞뒤로 해석하여 문맥을 이해할 수 있으므로 이를 활용하여 문맥적 의미변이 및 동음이의어 구분의 문제를 해결하였습니다.
셋째, 전문화된 감성사전
기존 감성사전은 영화의 댓글의 감성을 파악하거나 트위터 글에서 감성을 파악하는 등 단순한 감정을 읽는 것이었다면 저희가 만든 감성사전은 주식 도메인에 특화된 감성사전입니다. 

위와 같은 과정을 거쳐 최종적으로 정확도 94%에 달하는 감성분류모델을 만들었습니다.",700,x,09월 27일
